Tinh,SBD,Diem
Sở GDĐT Phú Thọ,15000033,Toán:8.4 Ngữ văn:5.5 Vật lí:6 Hóa học:6.25 Sinh học:4.75 Tiếng Anh:6.4 KHTN:5.67 Trung bình:6.14 
Sở GDĐT Phú Thọ,15000034,Toán:6.8 Ngữ văn:6.25 Vật lí:7.5 Hóa học:7.5 Sinh học:6 Trung bình:6.81 
Sở GDĐT Phú Thọ,15000035,Toán:6.8 Ngữ văn:7.75 Lịch sử:3.5 Địa lí:5.5 GDCD:7.25 Tiếng Anh:5.4 KHXH:5.42 Trung bình:5.95 
Sở GDĐT Phú Thọ,15000036,Toán:9.4 Ngữ văn:7 Vật lí:8.25 Hóa học:9.25 Sinh học:4.5 Tiếng Anh:5.4 KHTN:7.33 Trung bình:7.30 
Sở GDĐT Phú Thọ,15000037,Toán:6.8 Ngữ văn:8.5 Lịch sử:4.5 Địa lí:6 GDCD:8.25 Tiếng Anh:7.8 KHXH:6.25 Trung bình:6.87 
Sở GDĐT Phú Thọ,15000038,Toán:4.4 Ngữ văn:8 Lịch sử:8.25 Địa lí:8.5 GDCD:6.5 Tiếng Anh:4.8 KHXH:7.75 Trung bình:6.89 
Sở GDĐT Phú Thọ,15000039,Toán:6.2 Ngữ văn:8 Lịch sử:4.5 Địa lí:7.25 GDCD:8.75 Tiếng Anh:8.2 KHXH:6.83 Trung bình:7.10 
Sở GDĐT Phú Thọ,15000040,Toán:5.8 Ngữ văn:7.25 Lịch sử:4 Địa lí:5.25 GDCD:7.5 Tiếng Anh:4.8 KHXH:5.58 Trung bình:5.74 
Sở GDĐT Phú Thọ,15000041,Toán:6 Ngữ văn:6.5 Vật lí:2.75 Hóa học:6.5 Sinh học:8.25 Tiếng Anh:7 KHTN:5.83 Trung bình:6.12 
Sở GDĐT Phú Thọ,15000042,Toán:6 Ngữ văn:4 Vật lí:6 Hóa học:7.25 Sinh học:4.75 Trung bình:5.60 
Sở GDĐT Phú Thọ,15000043,Toán:7.2 Ngữ văn:6.75 Vật lí:4 Hóa học:7.25 Sinh học:8 Tiếng Anh:5 KHTN:6.42 Trung bình:6.37 
Sở GDĐT Phú Thọ,15000044,Toán:5.4 Ngữ văn:6.25 Lịch sử:4 Địa lí:5.25 GDCD:7.25 Tiếng Anh:8.6 KHXH:5.5 Trung bình:6.04 
Sở GDĐT Phú Thọ,15000045,Toán:6.8 Ngữ văn:4.5 Vật lí:3.5 Hóa học:8.25 Sinh học:7.25 Tiếng Anh:4.6 KHTN:6.33 Trung bình:5.89 
Sở GDĐT Phú Thọ,15000046,Toán:8 Ngữ văn:3.75 Vật lí:6.75 Hóa học:5.75 Sinh học:5.75 Tiếng Anh:4.2 KHTN:6.08 Trung bình:5.75 
Sở GDĐT Phú Thọ,15000047,Toán:4.8 Ngữ văn:8 Lịch sử:8.5 Địa lí:9 GDCD:7.75 Tiếng Anh:3.2 KHXH:8.42 Trung bình:7.10 
Sở GDĐT Phú Thọ,15000048,Toán:4 Ngữ văn:7 Lịch sử:4.5 Địa lí:5.75 GDCD:6.5 Tiếng Anh:6.4 KHXH:5.58 Trung bình:5.68 
Sở GDĐT Phú Thọ,15000049,Toán:6.4 Ngữ văn:6 Vật lí:6 Hóa học:4.5 Sinh học:2.5 Tiếng Anh:6.6 KHTN:4.33 Trung bình:5.19 
Sở GDĐT Phú Thọ,15000050,Toán:5.2 Ngữ văn:8.25 Lịch sử:9 Địa lí:9.5 GDCD:9 Tiếng Anh:6.2 KHXH:9.17 Trung bình:8.05 
Sở GDĐT Phú Thọ,15000051,Toán:6.6 Ngữ văn:7.5 Lịch sử:5.25 Địa lí:8 GDCD:8.25 Tiếng Anh:8.4 KHXH:7.17 Trung bình:7.31 
Sở GDĐT Phú Thọ,15000052,Toán:4.8 Ngữ văn:7 Lịch sử:7.5 Địa lí:9 GDCD:8.5 Tiếng Anh:6.2 KHXH:8.33 Trung bình:7.33 
Sở GDĐT Phú Thọ,15000053,Toán:7.6 Ngữ văn:8.25 Lịch sử:5.5 Địa lí:5.5 GDCD:9.25 Tiếng Anh:8.6 KHXH:6.75 Trung bình:7.35 
Sở GDĐT Phú Thọ,15000054,Toán:5.6 Ngữ văn:8.25 Lịch sử:8.25 Địa lí:8.75 GDCD:6.75 Tiếng Anh:3.8 KHXH:7.92 Trung bình:7.05 
Sở GDĐT Phú Thọ,15000055,Toán:8.4 Ngữ văn:6.25 Vật lí:8.25 Hóa học:8.5 Sinh học:3 Tiếng Anh:4 KHTN:6.58 Trung bình:6.43 
Sở GDĐT Phú Thọ,15000056,Toán:7 Ngữ văn:8.5 Lịch sử:4 Địa lí:6 GDCD:7.75 Tiếng Anh:9 KHXH:5.92 Trung bình:6.88 
Sở GDĐT Phú Thọ,15000057,Toán:5.8 Ngữ văn:7 Lịch sử:2.75 Địa lí:6.25 GDCD:8 Tiếng Anh:7.8 KHXH:5.67 Trung bình:6.18 
Sở GDĐT Phú Thọ,15000001,Toán:7.4	Ngữ văn:4	Vật lí:8.25	Hóa học:6.5	Sinh học:4.25	Tiếng Anh:2.6	KHTN:6.33	Trung bình:5.62	
Sở GDĐT Phú Thọ,15000002,Toán:8.6	Ngữ văn:7	Vật lí:8.5	Hóa học:7.75	Sinh học:4.5	Tiếng Anh:6	KHTN:6.92	Trung bình:7.04	
Sở GDĐT Phú Thọ,15000003,Toán:7.6	Ngữ văn:8	Lịch sử:4	Địa lí:5.5	GDCD:7.5	Tiếng Anh:8	KHXH:5.67	Trung bình:6.61	
Sở GDĐT Phú Thọ,15000004,Toán:6.2	Ngữ văn:7.5	Lịch sử:4.25	Địa lí:5	GDCD:8.25	Tiếng Anh:8.4	KHXH:5.83	Trung bình:6.49	
Sở GDĐT Phú Thọ,15000005,Toán:3.8	Ngữ văn:8.25	Lịch sử:8	Địa lí:8.75	GDCD:8.75	Tiếng Anh:5.8	KHXH:8.5	Trung bình:7.41	
Sở GDĐT Phú Thọ,15000006,Toán:4	Ngữ văn:4.75	Vật lí:3.25	Hóa học:5.75	Sinh học:5.25	Tiếng Anh:4.2	KHTN:4.75	Trung bình:4.56	
